tab	samples												
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
UI4-8	UI4	0	Intrusive:Igneous	Diabase	Diabase		221	0	28.7	390.6	-42	This study	SO-CMD-NORTH
UI5-1	UI5	0	Intrusive:Igneous	Diabase	Diabase		155	0	12	408.7	-96	This study	SO-CMD-NORTH
UI5-2	UI5	0	Intrusive:Igneous	Diabase	Diabase		-36	0	12	408.7	-82	This study	SO-CMD-NORTH
UI5-3	UI5	0	Intrusive:Igneous	Diabase	Diabase		60	0	12	408.7	-79	This study	SO-CMD-NORTH
UI5-4	UI5	0	Intrusive:Igneous	Diabase	Diabase		180	0	12	408.7	-31	This study	SO-CMD-NORTH
UI5-5	UI5	0	Intrusive:Igneous	Diabase	Diabase		90	0	12	408.7	-73	This study	SO-CMD-NORTH
UI5-6	UI5	0	Intrusive:Igneous	Diabase	Diabase		25	0	12	408.7	-73	This study	SO-CMD-NORTH
UI5-7	UI5	0	Intrusive:Igneous	Diabase	Diabase		201	0	12	408.7	-18	This study	SO-CMD-NORTH
UI5-8	UI5	0	Intrusive:Igneous	Diabase	Diabase		-15	0	12	408.7	-88	This study	SO-CMD-NORTH
CBS1-1	CBS1	0	Sedimentary	Sediment Layer	Sandstone		127	0	10.4	364.8	-8	This study	SO-CMD-NORTH
CBS1-2	CBS1	0	Sedimentary	Sediment Layer	Sandstone		238	0	10.4	364.8	-86	This study	SO-CMD-NORTH
CBS1-3	CBS1	0	Sedimentary	Sediment Layer	Sandstone		208	0	10.4	364.8	-6	This study	SO-CMD-NORTH
CBS1-4	CBS1	0	Sedimentary	Sediment Layer	Sandstone		-39	0	10.4	364.8	-6	This study	SO-CMD-NORTH
CBS1-5	CBS1	0	Sedimentary	Sediment Layer	Sandstone		245	0	10.4	364.8	-1	This study	SO-CMD-NORTH
CBS1-6	CBS1	0	Sedimentary	Sediment Layer	Sandstone		146	0	10.4	364.8	-2	This study	SO-CMD-NORTH
CBS1-7	CBS1	0	Sedimentary	Sediment Layer	Sandstone		141	0	10.4	364.8	-8	This study	SO-CMD-NORTH
CB1-1	CB1	0	Extrusive:Igneous	Lava Flow	Basalt		258	0	19.7	381.7	-32	This study	SO-CMD-NORTH
