pole_name,age,age_high,age_low,age_unit,age_uncertainty,citations,dir_alpha95,dir_polarity,dir_dec,dir_inc,dir_n_specimens,geologic_classes,geologic_types,height,lat,lithologies,location,lon,site,vgp_lat,vgp_lon,pole_name,dir_k,dir_n_samples,dir_tilt_correction,dir_r,vgp_lat_rev,vgp_lon_rev,vgp_dm,vgp_dp,paleolatitude
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,4.6,r,103.5,-60.9,7.0,Extrusive:Igneous,Lava Flow,2972.4,48.7385,Basalt,Simpson Island,272.3136,SI5b(132.4 to 171.9),-38.08848788206918,25.523553181201237,Osler reverse upper,,,,,38.08848788206918,205.52355318120124,,,-41.93407301313021
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,3.5,r,116.0,-61.0,5.0,Extrusive:Igneous,Lava Flow,3023.4,48.7376,Basalt,Simpson Island,272.3066,SI5b(183.4 to 188.7),-45.90276529036509,18.75590398471985,Osler reverse upper,,,,,45.90276529036509,198.75590398471985,,,-42.051214164410815
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,4.2,r,98.7,-70.0,6.0,Extrusive:Igneous,Lava Flow,3037.5,48.7373,Basalt,Simpson Island,272.3065,SI5b(197.5 to 216.7),-41.79281371578235,41.01931457704944,Osler reverse upper,,,,,41.79281371578235,221.01931457704944,,,-53.94761126761208
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,4.0,r,111.9,-57.1,6.0,Extrusive:Igneous,Lava Flow,2843.2,48.7408,Basalt,Simpson Island,272.3235,SI5b(3.2 to 30.7),-40.868388037718844,16.205238827222672,Osler reverse upper,,,,,40.868388037718844,196.20523882722267,,,-37.69980253962278
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,5.6,r,97.9,-42.5,6.0,Extrusive:Igneous,Lava Flow,2897.2,48.7402,Basalt,Simpson Island,272.3162,SI5b(57.2 to 63.3),-23.298395822220577,13.666496007949377,Osler reverse upper,,,,,23.298395822220577,193.66649600794938,,,-24.615621632891315
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,6.1,r,99.2,-50.4,5.0,Extrusive:Igneous,Lava Flow,2904.6,48.7401,Basalt,Simpson Island,272.3159,SI5b(64.6 to 70.4),-28.624942166748877,18.06571474530915,Osler reverse upper,,,,,28.624942166748877,198.06571474530915,,,-31.148604940704953
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,3.5,r,97.0,-49.4,6.0,Extrusive:Igneous,Lava Flow,2912.6,48.7399,Basalt,Simpson Island,272.3155,SI5b(72.6 to 79.0),-26.628635687214505,18.767495530541282,Osler reverse upper,,,,,26.628635687214505,198.76749553054128,,,-30.25757754123655
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,6.1,r,103.2,-63.3,5.0,Extrusive:Igneous,Lava Flow,2451.0,48.7462,Basalt,Simpson Island,272.3607,SI6(0.0 to 3.0),-39.555066116171076,28.78756586110069,Osler reverse upper,,,,,39.555066116171076,208.7875658611007,,,-44.831611599698995
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,2.3,r,78.3,-63.0,8.0,Extrusive:Igneous,Lava Flow,2463.0,48.746,Basalt,Simpson Island,272.3606,SI6(12.0 to 28.4),-25.53856845858556,41.59188058365828,Osler reverse upper,,,,,25.53856845858556,221.59188058365828,,,-44.45939762236196
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,6.3,r,79.9,-79.5,7.0,Extrusive:Igneous,Lava Flow,2573.3,48.7439,Basalt,Simpson Island,272.3507,SI6(122.3 to 127.6),-41.659858937749945,65.0918649722289,Osler reverse upper,,,,,41.659858937749945,245.0918649722289,,,-69.66136047887932
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,4.6,r,75.3,-53.3,8.0,Extrusive:Igneous,Lava Flow,2631.6,48.7423,Basalt,Simpson Island,272.35,SI6(180.6 to 188.8),-16.24901461462141,35.55657182721029,Osler reverse upper,,,,,16.24901461462141,215.5565718272103,,,-33.853766737354945
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,5.8,r,100.9,-52.0,5.0,Extrusive:Igneous,Lava Flow,2659.4,48.7415,Basalt,Simpson Island,272.3517,SI6(208.4 to 219.9),-30.680426263860856,18.260559990352135,Osler reverse upper,,,,,30.680426263860856,198.26055999035214,,,-32.61805682214758
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,4.9,r,108.3,-55.3,7.0,Extrusive:Igneous,Lava Flow,2696.4,48.7405,Basalt,Simpson Island,272.3524,SI6(245.4 to 252.7),-37.4418220899189,16.547798773020872,Osler reverse upper,,,,,37.4418220899189,196.54779877302087,,,-35.8327379675501
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,2.7,r,93.1,-66.3,8.0,Extrusive:Igneous,Lava Flow,2719.4,48.7399,Basalt,Simpson Island,272.3533,SI6(268.4 to 289.5),-36.046067320784296,37.787270321559674,Osler reverse upper,,,,,36.046067320784296,217.78727032155967,,,-48.718853306902
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,5.0,r,101.7,-61.0,8.0,Extrusive:Igneous,Lava Flow,2740.8,48.7393,Basalt,Simpson Island,272.3536,SI6(289.8 to 301.1),-37.070734826344534,26.668065845869194,Osler reverse upper,,,,,37.070734826344534,206.6680658458692,,,-42.051214164410815
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,5.3,r,95.2,-65.3,6.0,Extrusive:Igneous,Lava Flow,2491.6,48.7451,Basalt,Simpson Island,272.3607,SI6(40.6 to 57.8),-36.4235913987645,35.439912553466456,Osler reverse upper,,,,,36.4235913987645,215.43991255346646,,,-47.3891335422095
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,6.0,r,105.2,-72.2,7.0,Extrusive:Igneous,Lava Flow,2527.5,48.7448,Basalt,Simpson Island,272.3514,SI6(76.5 to 94.1),-46.55274129222218,43.043326120130416,Osler reverse upper,,,,,46.55274129222218,223.04332612013042,,,-57.29427298115865
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,3.8,r,103.4,-78.6,5.0,Extrusive:Igneous,Lava Flow,2545.1,48.7445,Basalt,Simpson Island,272.3514,SI6(94.1 to 104.2),-48.97058730062917,58.69370758269156,Osler reverse upper,,,,,48.97058730062917,238.69370758269156,,,-68.03722162383887
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,2.4,r,128.6,-48.4,8.0,Extrusive:Igneous,Lava Flow,2798.0,48.7406,Basalt,Simpson Island,272.3318,SI7(0.0 to 3.9),-46.66595035017993,355.21321029097237,Osler reverse upper,,,,,46.66595035017993,175.21321029097237,,,-29.38662612009495
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,9.2,r,132.8,-53.6,7.0,Extrusive:Igneous,Lava Flow,2801.9,48.7405,Basalt,Simpson Island,272.3316,SI7(3.9 to 5.4),-52.44490291944481,357.38416935303553,Osler reverse upper,,,,,52.44490291944481,177.38416935303553,,,-34.144472921454756
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,6.9,r,120.1,-55.6,7.0,Extrusive:Igneous,Lava Flow,2807.6,48.7403,Basalt,Simpson Island,272.3316,SI7(9.6 to 18.0),-45.26897075977261,9.223343348942308,Osler reverse upper,,,,,45.26897075977261,189.2233433489423,,,-36.138099145920435
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,2.2,r,126.1,-68.9,8.0,Extrusive:Igneous,Lava Flow,2336.0,48.7466,Basalt,Simpson Island,272.3806,SI8(0.0 to 3.9),-56.36021236817931,29.367959464374337,Osler reverse upper,,,,,56.36021236817931,209.36795946437434,,,-52.34134641734542
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,7.2,r,103.8,-65.2,8.0,Extrusive:Igneous,Lava Flow,2442.6,48.7449,Basalt,Simpson Island,272.3724,SI8(106.6 to 115.4),-41.21414806354821,31.187775446479407,Osler reverse upper,,,,,41.21414806354821,211.1877754464794,,,-47.25805713113572
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,5.5,r,108.7,-59.1,8.0,Extrusive:Igneous,Lava Flow,2355.3,48.7462,Basalt,Simpson Island,272.38,SI8(19.3 to 45.0),-40.1092340110443,20.493842827451658,Osler reverse upper,,,,,40.1092340110443,200.49384282745166,,,-39.876702331428326
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,5.3,r,123.0,-71.6,7.0,Extrusive:Igneous,Lava Flow,2339.9,48.7465,Basalt,Simpson Island,272.3805,SI8(3.9 to 19.3),-55.57383187878196,37.12295877418728,Osler reverse upper,,,,,55.57383187878196,217.12295877418728,,,-56.36372259971725
